customer_id,name,country,segment,signed_up
116,Alan Turing,United Kingdom,SMB,2023-03-12
117,Ada Torvalds,United Kingdom,Mid-market,2024-07-03
118,Edsger Lovelace,Spain,SMB,2024-10-19
119,Edsger Hopper,Spain,Mid-market,2023-11-26
120,Linus Dijkstra,United Kingdom,Enterprise,2023-09-23
121,Ada Perlman,United Kingdom,SMB,2022-08-08
122,Grace Lovelace,Poland,SMB,2023-03-03
123,Tim Hamilton,Germany,Enterprise,2023-07-20
124,Alan Hopper,Netherlands,SMB,2024-03-22
125,Grace Turing,Poland,Enterprise,2024-04-02
126,Barbara Berners-Lee,Spain,SMB,2024-10-08
127,Margaret Torvalds,Spain,SMB,2024-06-06
128,Grace Perlman,Netherlands,Enterprise,2022-09-12
129,Margaret Torvalds,France,Mid-market,2024-06-17
130,Alan Liskov,Poland,SMB,2024-04-14
131,Grace Hamilton,Netherlands,SMB,2024-10-14
132,Katherine Johnson,Spain,SMB,2023-11-13
133,Tim Johnson,Poland,SMB,2024-10-26
134,Edsger Perlman,United Kingdom,Enterprise,2024-04-08
135,Edsger Turing,France,Mid-market,2023-06-08
136,Grace Hopper,United Kingdom,Mid-market,2023-12-24
137,Barbara Turing,United Kingdom,Enterprise,2023-05-23
138,Edsger Hopper,Netherlands,SMB,2023-06-03
139,Radia Hopper,Germany,Mid-market,2023-08-01
140,Alan Turing,Spain,SMB,2024-10-15
141,Linus Hopper,Netherlands,Mid-market,2023-12-25
142,Katherine Liskov,Spain,SMB,2024-04-14
143,Radia Hamilton,Poland,Mid-market,2024-03-03
144,Edsger Perlman,Poland,Mid-market,2023-05-11
145,Katherine Hamilton,France,SMB,2023-09-03
146,Linus Lovelace,United Kingdom,Mid-market,2024-05-21
147,Grace Johnson,Netherlands,Enterprise,2023-08-16
148,Ada Hamilton,United Kingdom,SMB,2023-06-06
149,Barbara Johnson,Poland,Enterprise,2022-12-02
150,Katherine Liskov,Poland,SMB,2023-08-19
151,Barbara Dijkstra,Poland,SMB,2023-03-04
152,Ada Perlman,United Kingdom,Enterprise,2024-02-26
153,Grace Turing,Germany,Mid-market,2024-05-25
154,Ada Torvalds,France,SMB,2023-12-12
155,Alan Turing,Germany,SMB,2024-01-18
156,Ada Liskov,United Kingdom,SMB,2023-11-27
157,Grace Hamilton,Netherlands,SMB,2023-07-01
158,Katherine Torvalds,Germany,Enterprise,2022-08-18
159,Barbara Perlman,Germany,SMB,2024-06-19
160,Ada Hopper,France,Enterprise,2023-12-14
161,Edsger Turing,Spain,SMB,2023-07-13
162,Margaret Liskov,Netherlands,SMB,2022-11-18
163,Tim Dijkstra,Spain,SMB,2024-08-22
164,Alan Liskov,Spain,Mid-market,2022-12-24
165,Ada Berners-Lee,Netherlands,SMB,2024-01-26
166,Grace Johnson,France,Enterprise,2022-08-15
167,Grace Torvalds,Spain,Mid-market,2023-04-19
168,Tim Perlman,Netherlands,Mid-market,2022-07-16
169,Margaret Dijkstra,United Kingdom,SMB,2022-09-01
170,Margaret Johnson,Germany,Enterprise,2022-07-12
171,Tim Dijkstra,Netherlands,Enterprise,2024-08-13
172,Ada Torvalds,Spain,Mid-market,2022-11-12
173,Linus Liskov,Poland,Enterprise,2022-12-11
174,Radia Lovelace,Spain,Enterprise,2022-10-06
175,Grace Johnson,United Kingdom,SMB,2024-09-22
176,Ada Torvalds,Poland,Mid-market,2024-07-25
177,Tim Turing,United Kingdom,SMB,2022-09-24
178,Linus Turing,Spain,Mid-market,2023-09-27
179,Edsger Perlman,Spain,Mid-market,2024-08-14
180,Radia Lovelace,United Kingdom,Enterprise,2024-07-23
181,Ada Turing,Spain,Mid-market,2024-03-04
182,Tim Hopper,Netherlands,Mid-market,2024-03-22
183,Linus Hopper,Poland,SMB,2023-06-02
184,Katherine Hamilton,Germany,SMB,2022-11-11
185,Linus Dijkstra,United Kingdom,Enterprise,2024-04-29
186,Alan Dijkstra,Germany,Mid-market,2023-07-13
187,Tim Dijkstra,France,Mid-market,2023-08-20
188,Margaret Hamilton,Spain,Mid-market,2023-06-26
189,Alan Torvalds,France,Mid-market,2024-02-12
190,Grace Hamilton,Poland,SMB,2023-10-10
191,Linus Hamilton,Poland,Enterprise,2023-02-02
192,Grace Johnson,Netherlands,Mid-market,2024-07-14
193,Linus Lovelace,France,Enterprise,2023-07-20
194,Linus Hopper,Germany,Enterprise,2023-11-10
195,Ada Liskov,Netherlands,Enterprise,2024-02-20
196,Grace Hamilton,France,Mid-market,2023-11-13
197,Tim Lovelace,Germany,SMB,2024-04-23
198,Tim Lovelace,Germany,Mid-market,2022-10-26
199,Tim Torvalds,United Kingdom,Mid-market,2023-11-16
200,Alan Turing,Spain,Enterprise,2023-12-07
42,Ada Lovelace,United Kingdom,Enterprise,2023-11-02
